Issue title,HM5_ISSUE_DESC
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0028,1. As per Machining drawing Machining required in Dia 10.5 but as per casting drawing 10.5 required in casting ( Still No machining allowance in dia 10.5 ) 2. As per machining drawing Dia 6.5 required in machining  but as per casting drawing 7.5 required in casting ( Still No machining allowance in dia 6.5 and diameter observed 7.5 as cast ) 3. Body leak & Water galery leak rate spec not mentioned
DCRNPD_0065_KVHH_General_P2(P2)_0004,Drg release as per Sub Assy Proposal acceptance- Parts attached in image
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0038,Pipe L Frame Up_50108-ACL-8000_00 new part no. added. The only change is hole added. Due to this ECN it is very difficult to control mix-up of running AANN/ACLP/AAGM/CK frame child part.
DCRNPD_0073_KVEG_General_P0(PO)_0073,FORGING FOUND OFFSET FOR 02 LEG & NO PROPER RESTING FOR PIPE AFTER MACHING.
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0051,M5 THREADS CREATED IN PART. M5 NUT DELETED. PLATING STANDARD UPDATED.
DCRNPD_0202_AAZA_GENERAL_P2(P2)_0003,"As per our understanding,this design is not mass production worth.We will not be able to hold the Kick stopper brkt. in the welding fixture."
DCRNPD_0251_AAFF_GENERAL_P2(P2)_0127,SOME DIMENSIONS NOT ACHIEVABLE AT PART LEVEL .
DCRNPD_0324_ABWK_GENERAL_P2(P2)_0028,"Radius R2 on Spline Pre rolling dia is not possible for manufacturing , In detail K"
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0042,Play and looseness observed in Pillion Seat
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0057,"While changing from NCS to HMCMM FI kit, more thorttle rotation found (130 degree) against target 112 degree. Hence, rider wrist goes to more bend while full throttle."
DCRNPD_0296_AAWM_GENERAL_PP(PP)_0034,"Existing ACAA BOM +Ve wire assembly Nut (90071-MBO-0000) is not available, Nut to be add in ACAA BOM"
DCRNPD_0062_KWAH_General_E2(PP1-1)_0004,Drawing regularisation as per TFC
DCRNPD_0070_KVNF_General_P2(P2)_0006,RR COWL PRE ASSEMBLED WITH NUT CLIPS REQUIRED
DCRNPD_0296_AAWM_WARRANTY_P2(P2)_0025,"FOR ACCESSORY PARTS READINESS, DCR NEEDS TO RELEASE."
REPLACEMENT OF RR UNIT AND DELETION OF CAPACITOR ASSY AGAINST VA_VE IDEA.,PGC arm & Coller weling radius welding increase for fittup gap & strength
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0041,SEAT LOCK CABLE TFC UPDATION  - ACZA ( INNER CABLE BREAKING LOAD UPDATION AS PER STANDARD JASO-T001-97) CURRENT : 1470 N   ;   MODIFIED : 1176 N)
DCRNPD_0073_KVEG_General_DA(D1)_0093,"Basis Studio Master, E-20 Caution Sticker location is top of Fuel Cap."
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0064,Belly pan For ABZM to be made sub assembly
DCRNPD_0073_KVEG_General_P0(PO)_0076,ETCHING LINE WAS NOT THERE IN 3D DATA
DCRNPD_0073_KVEG_General_E2(PP1-1)_0096,1. SOFT ZONE SHOULD BE 0.5 TO 2MM (LEFT & RIGHT SIDE) 2. CHAMFER ANGLE TO BE SPECIFIED ( LEFT & RIGHT SIDE) 3. HARDNESS SPEC. SHOULD BE 53~56 HRC 4. Rz 3.2 IS DIFFICULT TO MAINTAIN AS IT SHOULD BE Rz 6.3 ( LEFT & RIGHT SIDE) 5. CHAMFER ANGLE TO BE SPECIFIED ( LEFT & RIGHT SIDE)
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0070,MATERIAL TO BE CHANGED AS GRADE SPECIFIED IN DRG NOT AVAILABLE WITH SUPPLIER FOR BOP PARTS
DCRNPD_0296_AAWM_GENERAL_EA(E1)_0028,1. SEALANT SPECIFICATION TO BE CHNAGED FROM TB2361B (Solvent base) to TB2365B(water base)
DCRNPD_0319_AAKL_GENERAL_PP(PP)_0026,Texture to be added in seat base comp bottom side
NEW EMBLEM TO BE UPDATE IN BOM,MLC 70 ABS software to be released after Die go as matured vehicle was made available after Die-go (PP1)
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0034,ECU BRACKET DRAFT TO BE MODIFIED TO CLEAR FOR DFM.
DCRNPD_0073_KVEG_General_P0(PO)_0074,Two semi circle of R 4.0mm to add at both edge of plate to better control its DOF.
DCRNPD_0323_ABWJ_GENERAL_P2(P2)_0032,Stay side cover mtg prone to handling damage. edge butting to be avoid. Stay type to be modify as per recommendation.
DCRNPD_0324_ABWK_GENERAL_P2(P2)_0038,AC outlet plugged mounting hole touching with frame body
DRAWING TO BE UPDATED FOR HOLE VIEW AND CHAMFER,Liquid fuel entering canister in Full capacity fuel and Vehicle Gradient condition
DCRNPD_0063_KWHF_General_E2(PP1-1)_0023,Multisource Drawing Mismatch to be corrected in part no. 17910-AAW-F000 and 17910-AAW-F010 (Cable comp. throttle). Brass Cap size to be corrected in the Drawing.
DCRNPD_0070_KVNF_General_P2(P2)_0013,RR Cushion Gusset support outer/inner lower edge existing design will cause poor weld quality & fit gap.
DCRNPD_0298_AALL_GENERAL_EA(E1)_0014,Spanner 12X14 MM (99001-12140) drawing updation as per supplier
DCRNPD_0329_AAJL_GENERAL_PP(PP)_0002,Surface treatment to be change General coating NH 105 Matt black to change General coating NH 1 glossy black.
DCRNPD_0319_AAKL_GENERAL_PP(PP)_0014,For 24612-ABY-0000 & 24621-ABY-0000 supplier not able to manufacture as per the drawing.
DCRNPD_0326_ACNA_GENERAL_PP(PP)_0020,"DC WIRE HARNESS UPDATED,INPUT AC WIRE HARNESS FOR DIFFERENT COUNTRIES, DVPV TEST UPDATED, CERTIFICATION"
TEST SPECIFICATION UPDATED,MFF 1mm thick is distorting after mfg leading to weld NG between Tank & MFF
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0060,A Hole Dia 8 to 12mm require in RR Lower Bkt (50146) co centric to 16mm Hole Dia in Upper Bkt (50148) To control the both BKt alignment in welding fixture.
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0053,Kindly add the projection welding & projection nut option
DCRNPD_0073_KVEG_General_P2(P2)_0002,Insufficient land Punching not feasible.
DCRNPD_0296_AAWM_GENERAL_DA(D1)_0006,Seat Stitch Line modification required
DCRNPD_0077_KZJA_General_P2(P2)_0071,1. Dimn changed from 4.5 to 4+0.521. 2. Pin dia Chnaged from 2-0.1 to 0.2 .  3. Assy Name / No. to be added.
DCRNPD_0086_K06A_General_P2(P2)_0007,"Stay is similar both side, and L/R marking not given on part ."
HOBBING CUT MARK ALLOWE ON COLLER DIA 46,2D Drawing Missmatch with 3D Part
DCRNPD_0086_K06A_General_DA(D1)_0040,Rim tape addition in ADJR model
DCRNPD_0086_K06A_General_DA(D1)_0035,Part is not Manufacturable as per current drawing specifications
WELDING NOT FEASIBLE,50148 stay Bkt corner design to be improve at dia 24 Design modification minimum 1.5T of edge width require
DRAWING UPDATE,"Required Slot width both side against raidus, dim change as per attche images"
DCRNPD_0237_ABSA_GENERAL_P0(PO)_0012,DRAWING TO BE CORRECTED AS PER SUGGESTIONS AND MANUFACTURING FEASIBILITY
DCRNPD_0076_KZAA_General_99(Not Appl)_0043,GRIP DIMENSION UPDATION INTO DRAWING
DCRNPD_0073_KVEG_General_P2(P2)_0010,Drawing to be update as per XPA Drawing
DCRNPD_0076_KZAA_General_EA(E1)_0130,CIT to study the compatibility of the same with exclusive inner panel.
DCRNPD_0251_AAFF_GENERAL_P2(P2)_0244,1. A/C SPEC REQUIRED 15.4 MIN
DCRNPD_0076_KZAA_General_P2(P2)_0018,"On checking the IS 1772 standard, it specifies that corrosion testing is required in Grade 2 coating which is 15 microns minimum coating thickness for 6 hrs sst life"
DCRNPD_0076_KZAA__EB(E2)_0158,Coating change to HMCS-D-0005 in dwg. Applicable parts: 1. 50212-ABZM-B000  - BEEPER MTG BKT 2. 50221-ABZM-B000  - TCU MTG STAY
DCRNPD_0076_KZAA__EB(E2)_0170,GPP Requirement
DCRNPD_0079_KZNA_General_P2(P2)_0034,A/F dimension  24+0.06/+0.046 observed 24.22~24.27
DCRNPD_0086_K06A__P0(PO)_0074,Due to mig welding clamp of 0.8/1mm thickness get burnout & breakup very frequently.
DCRNPD_0077_KZJA_General_P0(PO)_0009,1. ALTERNATE MATERIAL TO BE SPECIFIED LIKE 16mncr5 & EN353 2. ASSY NO./NAME TO BE SPECIFIED 3. TOLERANCE ON O.D 10h6-0.009 TO BE REVIEWED AGAIN 4. INSIDE HARDNESS TO BE REVIEWED AGAIN IT SHOULD BE 25`40 HRC 5. PART NO. TO BE CHANGED FROM 28132-ACAA-0000 T0 28132-ACA-0000.
DCRNPD_0079_KZNA_General_P2(P2)_0016,NEW PRODUCT ADDITION
DCRNPD_0079_KZNA_General_P0(PO)_0001,Quality/Design issue- Fitment issue
DCRNPD_0080_KTRM_General_EC(PP2-1)_0012,Please add logo in the part as it is  required pasted from vendor end.
DRWAWING UPDATED,Uneven gap between RR grab and Tail light cover
DCRNPD_0220_AABM_GENERAL_PP(PP)_0019,"ACAA handle bar riser mtg bolt has standard Zinc coating & to improve the asthetics,  bolt head cap is not being used (this cap generally prevents water accumulation in the bolt socket head). Due to no cap in bolt head, the corosion of these bolts may start earlier due towater accumulation"
DCRNPD_0086_K06A_General_DA(D1)_0025,Stripe Addition & bom updation
DCRNPD_0086_K06A__EA(E1)_0071,"As per easily availability of raw material with 2.5mm thickness, thickness 2.3mm material in Stay1 & 2 to be changed."
DCRNPD_0076_KZAA_General_P0(PO)_0086,DRAWING TO BE CORRECTED AS PER SUGGESTIONS
DCRNPD_0323_ABWJ_GENERAL_P2(P2)_0069,'92201-08030-1A CAN BE COMMONIZE WITH 92201-08032-1A  AS  ONLY LENGTH CHAMGED FROM 32(AAJP) TO 30(ACAA) MODEL WHICH CAN BE COMMONIZE
DCRNPD_0323_ABWJ_GENERAL_P0(PO)_0017,"1- ECD Value to be changed 0.5~1.5 insted of 1~1.50 ,2-Roughness checking is not posible on chamfer 0.5x45 degree on dia 66.2,3- Chamfer to be provided both side or no sharp edge to be update one side on dia 106,4- Counter chamfer to be provided on thread portion ( agreed in TFC),5- Other RPO oil to be update DW902 ( agreed in TFC)"
DCRNPD_0330_AAEF_GENERAL_P0(PO)_0009,Compression observed 2mm in nominal condition
DCRNPD_0076_KZAA_General_PP(PP)_0123,Mig Weld & Projection weld option require for all nut. Hole size standardization. M6 Nut -----7.0+/-0.2 M8 Nut – 9+/-0.2
DCRNPD_0076_KZAA_General_PP(PP)_0073,Tolerance modified as per production tool as per supplier request.
DCRNPD_0079_KZNA_General_P0(PO)_0015,MATERIAL SPECIFICATION UPDATE TO HMCS-C-0008
DCRNPD_0077_KZJA_General_P2(P2)_0053,"Existing cat loading is 25gm from which we are unable to meet the emission norms, so that we need to replace the existing 25gm catcon with 50gm to achieve emision norms."
DCRNPD_0086_K06A__DA(D1)_0067,Stripes & Set illust addition
DCRNPD_0296_AAWM_GENERAL_EA(E1)_0009,4.9mm weld length at bkt cushion is too short will lead weld defect im production.
DCRNPD_0083_KRYJ_General_DA(D1)_0006,Change Hgh performance powder coating to Normal Powder Coating
DCRNPD_0251_AAFF_GENERAL_P2(P2)_0111,"1- AS PER CURRENT DESIGN, STAMPING INNER, OUTER & PIPE, WELD PENETRATION NOT ACHIEVABLE WITH SINGLE WELD BEAD & 3.6MM GAP AT 06 PLACES. 2- STAY IGNITION COIL & STAY CANISTER ARE BENDABLE DURING PROCESS. 3- STEP COLLAR TO BE COMMONIZE."
DCRNPD_0086_K06A__P0(PO)_0080,"1.) We have to update the BOM from silver to black engine as per the GPP requirements.(CrankCase-Cover & Cylinder head-block Phantoms need to be updated.)  2.) For cost saving we are replacing the P. No:- 90201-GF6-0000 with 90201-AAH-A000.(Qty 4)  3.)18645-MT4-7300 & 96001-06016-00 needs to be added in EXHAUST(AIR FEED PIPE) phantom.  4.) P. No:- 16100-AAC-7010 to be replaced with P. No:- 16100-AAE-E000.  5.) 91208-GB5-7600(qty 1), 96100-60010-00 (qty 1) & 96100-62030-00 (qty 1) to be removed from first level of CE01100_0460_AAES-CRANK CASE & COVER.  6.) 1220A-AAES-E000 to be replaced with 1220A-AAF-0100 in CE01200_0460_AAES-CYLN. & CYLN HEAD."
DCRNPD_0323_ABWJ_GENERAL_PP(PP)_0004,Quality points to be mensioned in Drg.
DCRNPD_0329_AAJL_GENERAL_PP(PP)_0009,DURABILITY & OIL SPEC IS MISSING
DCRNPD_0074_KWHF_General_D3(Pre-Die-Go)_0002,Interference found between pin handle lock and slot on steering stem in worst case stack up calculation.
DCRNPD_0086_K06A_General_P2(P2)_0013,"Ø 8 mm locating hole to control part welding trim. Instead of Slot, provide 02 Nos Ø8 holes for location."
DCRNPD_0086_K06A__EA(E1)_0101,Mentioned surface treatment is not feasibile for vendor.
DCRNPD_0302_ACJA_GENERAL_PP(PP)_0020,Seat getting open without Key application .
DCRNPD_0319_AAKL_GENERAL_PP(PP)_0015,"DFM FFEDBACK TO BE UPDATED:shrink mark may appear in highlighted area in DFM PPT(Removed highlihhted radius), Parting line critical due to marked radius"
DCRNPD_0323_ABWJ_GENERAL_PP(PP)_0014,During ramp -up stage after maintaing the 25 mm spec of Frame body & Swingarm. Cushion mtg bolt thread tight observed in 100% vehicle assy. Reason of thread tight welded collar has inside thread at Frame body. Problem observed post cusion insertion in Frame body & Swingarm.
DCRNPD_0076_KZAA_General_P2(P2)_0029,INNER & OUTER STAMPING -CRACK ISSUE OBSERVED DDURING FORMING DUE TO INSUFFICIENT RADIUS. PART BURNING ISSUE OBSERVED DURING WELDING OF  INNER & OUTER MATCHING BOX.
DCRNPD_0076_KZAA_General_P2(P2)_0076,Mixup with Existing parts
DCRNPD_0107_AAWA_GENERAL_P0(PO)_0003,Noise observed during NVH Trial. (refer to the attached pdf in additional attachments)
DCRNPD_0298_AALL_GENERAL_P2(P2)_0023,"PATCH,FUEL COCK- EBOM to be updated with Part code- 17510-AAD-2200-23 same as AAJP Model"
DCRNPD_0296_AAWM_GENERAL_P0(PO)_0015,Drg release as per Sub Assy Proposal acceptance- Parts attached in image
DCRNPD_0076_KZAA__EB(E2)_0154,"1- Angle tolerance   changedc30°±  2° insted of 30° 2- ""AAWP"" Logo Marking height: 2.8 & ""I"" Logo Marking height: 4.8 to be defined in max. 3-""AAWP"" & ""I"" Logo Marking Depth 0.3 Max to be defined in drawing 4- HMCS-A-0005 Grade A  to be changed insted of HMCS-A-0005 Grade 1"
DCRNPD_0086_K06A_General_P2(P2)_0011,One part found in opened condition while handling at bleeding assembly.
DCRNPD_0088_AAAA_GENERAL_P0(PO)_0003,ANTI  ROTATION LUG SLOT NOT AVAILABLE IN CURRENT DESIGN OF MASTER CYLINDER FRONT & REAR
DCRNPD_0083_KRYJ_General_P0(PO)_0004,Due to EMI/EMC failure some changes was done in PCB because of which wattage increased. Agreed with CIT for the change
DCRNPD_0106_AATA_GENERAL_EA(E1)_0053,"1. Drain hole required, as per attached iges file. 2. Flange dimension 27 need to be revised in 25 (Flange decreased due to crack issue) and R5 required R8 3. Nut welding required with 2 tags. (All around not feasible due to less area). 4. Clearance need to be minimised for Collar nut. Excess play b/w hole (8.4+0.2 required) & Collar 5. Stay Fr Head mtg. Welding length need to be revised as 36mm (given 45)."
DCRNPD_0293_ABSC_GENERAL_PP(PP)_0020,No Collor available between License light & Rear Fender
DCRNPD_0077_KZJA_General_P2(P2)_0033,Design Updation as per tooling feasibility
DCRNPD_0143_ABGA_GENERAL_PP(PP)_0025,RSU SPRING IMPROVEMNT FOR SIDE LOAD REDUCTION AND PRELOAD ADJUSTMENT
DCRNPD_0151_AAGE_GENERAL_P0(PO)_0011,1. SURFACE TREATMENT spec will be MFeCr2 against the drawing spec MFeCr2-S.
DCRNPD_0303_AANZ_GENERAL_PP(PP)_0003,DRAWING TO BE CORRETED AS PER SUGGESTIONS
DCRNPD_0076_KZAA_General_EC(PP2-1)_0127,Changes required to make tool manufacturing feasible.
DCRNPD_0076_KZAA_VA_VE_EA(E1)_0042,E011-> Dowel Pin 90702-GB6-9100 Part quantity extra E012 -> Cyl Head Cover Nut to be changed from 90201-GF6-0000 --> 90201-AAH-A000 EE99 -> Set Piston Ring & Over sized guide valve not available in ebom for SPD
TERMINAL EYELET ANGLE TOLERANCE CHANGE,Surface texture to be changed at top & rest of the surface as per studio.
DCRNPD_0323_ABWJ_GENERAL_P2(P2)_0045,DRAWING TO BE CORRECTED AS PER SUGGESTIONS
DCRNPD_C0354_AAJP_GENERAL_DA(D1)_0001,Kenya localisation material SPHT2 to be updated in relevant parts.
DCRNPD_C0253_ACBA_GENERAL_P0(PO)_0007,"1. SEALANT SPECIFICATIONS LIKE VISCOSITY, COATING, THICKNESS MELTING TEMP. TO BE SPECIFIED 2. TORQUE SPEC TO BE SPECIFIED 3. ASSY NO./NAME TO BE SPECIFIED 4. IN MATERIAL SIMPLY WRITE PROPERTY CLASS 8.8 SO THAT MANY MATERIALS CAN BE USED."
DCRNPD_C0402_AAZE_GENERAL_P0(PO)_0001,Drawing to be corrected
DCRNPD_C0355_AAML_GENERAL_PP(PP)_0001,1. ANGLE 64 DEGREE TO BE CHANGED TO 52 DEGREE AS PER ISO 4757  2. CHAMFER 0.5 X45 TO BE REMOVED AS PER FEASIBILITY 3. KNURLING TO BE CHNAGED TO 0.5-0.8 AS PER FEASIBILITY
DCRNPD_C0161_AANF_GENERAL_P0(PO)_0005,Rear Grip R/L bolt flange 8x22 colour will be changed from silver to black as per studio requirement.
HOLE SIZE TO BE INCREASED FROM 7.0MM TO 9.0MM,FITMENT OF PART FOUND VERY HARD DURING ASSY
REPLACING EBOM WITH REGUALR PART NO 53171-KCC-9000 IN PLACE OF 53171-AAE-9400 COVER R HANDLE LEVER,New H Emblem Added
DCRNPD_C0431_ACKE_VA_VE_PP(PP)_0001,Increasing design robustness to accommodate MP variations.
DCRNPD_C0404_ABAF_GENERAL_P2(P2)_0002,Welding reach not possible. Patch design needs to be changed. Design need to change similar to AAFF.
DCRNPD_C0252_ABZA_GENERAL_P2(P2)_0008,Design Updation as per tooling feasibility
DCRNPD_0106_AATA_GENERAL_PP(PP)_0078,Mounting face thickness increase by 1 mm for proper bolt assembly
DCRNPD_0225_AAWF_GENERAL_EB(E2)_0027,I am attaching the change details of 17210-ACA-0000-10/20 & 17212-ACA-0000 in the single DCR for an ease of process flow.
DCRNPD_C0446_ABWY_GENERAL_PP(PP)_0003,2.6 MARK TO BE REMOVE FROM WASHER
DCRNPD_C0399_ACPA_GENERAL_P2(P2)_0003,Part is not Manufacturable as per current drawing specifications
DCRNPD_0220_AABM_GENERAL_P2(P2)_0107,1) Dowel pin to be press fitted in upper half of the connecting rod. Note to be updated in 13200-ACA-0000 (2) Molypaste grade to be provided in the drawing (3) Request to provide Bend as 0.08/100 & twist as 0.13/100. As per ACD connecting rod. As bend & twist correction not allowed for the connecting rod . (4 ) Thickness Variation to be define section BB small end dia .( 5 ) Residual Magnetic flux value to be defined in drawing . ( 6) Bolt Tightening torquenot defined in drawing
WHEEL SPEED SENSOR DRAWING UPDATE,HIGH FREQUENCY NOISE FOUND IN BALANCER GEAR PAIR
STEP PILLION WITH GROMMET ASSY REQD,"Brkt Comp RR Unit_50159-ACL-D000_01 is  shown in ACLJ frame BOM, but as per base model quality issue this part is commonise in model frame ACLP/AACN this part is modified as 50159-AAC-B000_02. It is done to control mix-up of child part and need same in ACLJ/LK frame body to control the same, drawing attached for your better understanding."
DIM TO BE CHANGED,DRAWING TO BE UPDATED AS PER SUGGESTIONS AND FEASIBILITY
PARTS UPDATED WITH NEW SURFACE TREATMENT UPDATE,SEAT COLLARS COMING IN LOOSE CONDITION ADDING ONE EXTRA PROCESS ON LINE.
TOOLING HOLE REQUIRED IN RR TOP ENG. MTG BKT.,BOM correcttion for AAWS (Bolts common with AAWP)
0251_AAFF_HR1K_D3(PRE-DIE-GO)_0065,1-Diameter 100 to be defined in referance 2- Diameter (52) to be removed 3-Diameter 45 to be changed from 45 to 46mm 4-Note 7  to be update as per dia 46mm 5-Weld Position: Ø45 to be increased from 45 to 46mm  6- Detail C: Oil Groove 4 Plcs to be removed from welding side 7- HMCS-A-0005 Grade A to be changed insted of HMCS-A-0005 Grade 1
0372_ABSD_HR1K_D3(PRE-DIE-GO)_T0045,PAINT DRIPPING ISSUE OBSERBED DUE TO  PAINT ACCUMUATE IN FRAME BLIND AREA .
0373_ABSE_HR1K_D3(PRE-DIE-GO)_0034,plate bottom material colour to be changed from natural  to black for asthetic requirement
0373_ABSE_HR1K_D3(PRE-DIE-GO)_0032,Split type USB charger highlighted sharp edge need to be rounded off as this can injure the person
0372_ABSD_HR1K_D3(PRE-DIE-GO)_T0059,"LED PART NO. DWA-HKG TYPO ERROR FOR TAIL LAMP, JST CONNECTOR PART NO.  IN AAWP HL."
0373_ABSE_HR1K_D3(PRE-DIE-GO)_0045,F3 IS USED FOR OZONE RESISTANT MATERIALS WHEREAS NBR IS GIVEN IN DRG WHICH IS NON OZONE RESISTANT.
ALTERNATE MATERIAL CEW-1 AS PER IS: 3074 TO BE PROVIDED,Drg release as per Sub Assy Proposal acceptance- Parts attached in image
DRAWING UPDATION,DRAWING TO BE CORRECTED AS PER SUGGESTIONS
0371_ACNB_HMCG_EC(PP2-1)_T0214,In Bearing Child parts alternate materil to be added which has been actually used from M1 to Till now .
0106_AATA_HMCH_E2(PP1-1)_0084,MATERIAL CHANGE IN 31506-ACP-0010-RUBBER MAT
L TYPE HANDLE STOPPER WITH IMPROVED GAP,E023 - Plate A2 Fixing Bolt(90084-041-0000) not available in AAMP model
0372_ABSD_HMCG_E2(PP1-1)_0043,High probability of spot dislocation.
0380_AALR_HMCG_D3(PRE-DIE-GO)_0013,Packaging of RR unit in frame near to RR fender.
0372_ABSD_HR1K_D3(PRE-DIE-GO)_T0067,Increasing design robustness to accommodate MP variations
0393_AAEG_HR1K_E2(PP1-1)_0001,Drg release as per Sub Assy Proposal acceptance- Parts attached in image
0380_AALR_HR1K_D3(PRE-DIE-GO)_0001,Three drain holes required.
0396_AAEK_HR1K_D3(PRE-DIE-GO)_T0012,Existing Color: Matt Force Silver
0087_AABA_HMCG_E2(PP1-1)_0004,POWDER COATING IS NOT FEASIBLE IN SMALL PART AS WIRE MARK COMES DURING POWDER COATING
0087_AABA_HMCG_EC(PP2-1)_0108,1. EQUIVALENT TO BE SPECIFIED FOR RAW MATERAIL AS SUPPLIER IS OT USING SPECIFIED MATERAIL 2. QTY OF ALL CHILD PARTS TO BE SPECIFEID 3. RADIUS TO BE SPECIFIED IN INNER/OUTER RING FOR INNER AND OUTER FACE 4. IN ASSY DIMENSION SPECIFIED 17/-0.35/-0.45 WHICH IS NO WHERE SPECIFIED IN ROD CLUTCH LIFTER DRAWING
